54066,1587
1496,45
32521,971
70142,2060
56915,1662
68424,2001
40033,1201
42582,1272
69068,2026
9370,269
12051,352
1860,57
25248,760
55468,1624
60901,1793
35272,1054
28122,846
6550,189
12265,358
19306,575
61674,1809
18205,540
64344,1883
9177,266
32411,966
4146,125
65805,1919
12313,363
25889,779
43797,1304
45120,1333
14292,428
12221,356
2706,85
17835,527
52576,1550
19193,574
33052,986
13656,406
383,8
42201,1262
54876,1609
34225,1020
50464,1473
30836,912
25038,754
25408,764
65647,1917
9117,262
34329,1023
40810,1221
51021,1492
6082,170
19018,569
32283,958
7740,216
18510,551
21277,646
55280,1618
13397,400
13561,403
21439,648
28645,863
31784,943
11728,336
50377,1471
24515,740
6393,181
60515,1780
47711,1401
50970,1490
15344,457
38119,1139
51901,1527
69066,2025
64587,1895
37820,1129
15974,476
68623,2005
23423,704
12056,353
14479,434
1652,51
58747,1713
30980,924
26589,798
17653,522
34783,1039
22061,669
40863,1226
5831,164
49527,1455
55992,1641
12064,354
10125,284
53192,1572
38390,1145
35660,1067
26487,795
533,13
3392,107
8892,252
55124,1612
31523,941
60692,1785
19899,599
42966,1279
26316,793
31911,950
24230,731
13748,410
19619,586
36659,1101
51361,1509
24171,729
36060,1077
39156,1171
66650,1947
36306,1087
71037,2092
53610,1580
69891,2052
24653,745
46126,1355
64621,1896
18853,564
13159,390
13914,416
70100,2056
38934,1166
39897,1195
38396,1146
58203,1698
1278,40
36619,1098
25867,777
28317,852
15436,459
5706,161
46672,1372
51761,1525
13222,392
63717,1871
5002,146
16103,482
65436,1913
18015,534
58160,1696
9411,270
27626,829
65595,1916
40456,1211
498,12
14099,424
51972,1529
67303,1967
55935,1639
4697,137
30210,899
50041,1465
59327,1730
69291,2033
40737,1219
5182,149
28048,842
46257,1356
59529,1745
10791,304
14910,447
18461,549
10639,299
68523,2004
15896,474
50607,1479
41394,1242
67199,1965
69590,2042
29947,892
59686,1749
68046,1990
57912,1688
34334,1024
41103,1233
12272,359
24072,726
16574,496
10064,281
38047,1136
8584,235
7711,214
61985,1820
58577,1704
30864,916
64642,1897
64540,1892
31175,931
39513,1182
56016,1642
29616,885
64411,1887
45938,1350
55197,1614
23712,711
38765,1158
43699,1298
8787,248
32919,982
38348,1143
29225,874
13086,389
23634,709
45583,1345
16949,505
19742,590
34704,1034
54113,1589
31040,925
59468,1740
29508,882
22931,689
38889,1163
35455,1059
46272,1357
38281,1141
14465,433
51448,1513
5240,152
48337,1422
65081,1904
3710,115
16174,487
5475,157
29202,873
32536,972
1198,36
38111,1138
40855,1225
38854,1160
4728,138
37882,1131
11090,311
26765,808
68304,1998
52983,1567
50992,1491
59182,1726
15311,456
30846,914
17260,509
51954,1528
70789,2085
62565,1839
18718,558
10905,306
14361,430
3493,109
58417,1699
65403,1912
68117,1993
67901,1985
56091,1645
29501,881
14709,445
4022,122
